"genes","naiveB_S1R1","naiveB_S1R2","naiveB_S1R3","naiveB_S1R4","naiveB_S2R1","naiveB_S2R2","naiveB_S2R3","naiveB_S2R4","naiveB_S3R1","naiveB_S3R2","naiveB_S3R3"
"ENSG00000015171","12","161","3","44","446","643","204","459","721","1094","565"
"ENSG00000015285","86","463","0","203","189","120","105","188","296","522","123"
"ENSG00000015413","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000015475","1609","806","2881","372","259","221","381","410","24","43","21"
"ENSG00000015479","86","1049","662","1952","296","414","274","285","1998","1630","845"
"ENSG00000015520","0","0","2","8","0","0","0","0","8","3","0"
"ENSG00000015532","371","1633","380","178","224","499","223","229","108","211","53"
"ENSG00000015568","0","2","4","1","0","0","0","0","0","1","0"
"ENSG00000015592","0","0","0","0","0","0","0","0","0","1","1"
"ENSG00000015676","1870","1615","1303","114","1343","2025","1189","1314","420","620","178"
"ENSG00000016082","0","0","174","19","0","0","0","0","0","0","0"
"ENSG00000016391","0","0","1","0","25","0","10","0","5","0","0"
"ENSG00000016402","0","0","68","29","0","0","0","0","0","0","0"
"ENSG00000016490","0","0","0","7","0","0","0","0","0","2","0"
"ENSG00000016602","0","0","0","27","0","0","0","0","2","2","0"
"ENSG00000016864","184","152","8","200","563","380","525","395","270","565","162"
"ENSG00000017260","260","319","545","242","548","949","500","607","906","1353","410"
"ENSG00000017427","0","0","233","47","5","0","3","2","0","0","1"
